2018-01-17 09:09:56,702 [Worker-608] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-deploy-plugin/2.7/maven-deploy-plugin-2.7.jar
2018-01-17 09:09:57,724 [Worker-608] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-site-plugin/3.3/maven-site-plugin-3.3.jar
2018-01-17 09:09:57,739 [Worker-608] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.psl:RoomBookFinalWar:0.0.1-SNAPSHOT @ C:\JAVA\HibernateDemo\RoomBookFinalWar\pom.xml.
2018-01-17 09:09:58,762 [Worker-608] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/slf4j/slf4j-log4j12/1.5.6/slf4j-log4j12-1.5.6.pom
2018-01-17 09:09:59,775 [Worker-608] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/com/googlecode/json-simple/json-simple/1.1.1/json-simple-1.1.1.pom
2018-01-17 09:10:00,796 [Worker-608] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/hibernate/hibernate-annotations/3.5.6-Final/hibernate-annotations-3.5.6-Final.pom
2018-01-17 09:10:01,814 [Worker-608] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/javax/servlet/javax.servlet-api/4.0.0/javax.servlet-api-4.0.0.pom
2018-01-17 09:10:02,960 [Worker-608] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/slf4j/slf4j-api/1.5.6/slf4j-api-1.5.6.jar
2018-01-17 09:10:03,048 [Worker-608] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RoomBookFinalWar/src
2018-01-17 09:10:03,049 [Worker-608] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /RoomBookFinalWar/src overlaps with sources folder /RoomBookFinalWar/src
